systematic_name	standard_name	chrom	start	end
21S_rRNA_4	21S_RRNA_4	chrmt	61868	62447
9S_rRNA_1	9S_RRNA_1	chrmt	1	11
9S_rRNA_5	9S_RRNA_5	chrmt	85290	85779
ETS1-1	ETS1-1	chrXII	457733	458432
ETS1-2	ETS1-2	chrXII	466870	467569
ETS2-1	ETS2-1	chrXII	451575	451785
ETS2-2	ETS2-2	chrXII	460712	460922
HRA1	HRA1	chrI	99305	99868
ICR1	ICR1	chrIX	393884	397082
IRT1	IRT1	chrX	605936	607424
ITS1-1	ITS1-1	chrXII	455572	455932
ITS1-2	ITS1-2	chrXII	464709	465069
ITS2-1	ITS2-1	chrXII	455182	455413
ITS2-2	ITS2-2	chrXII	464319	464550
LSR1	LSR1	chrII	680688	681862
NME1	NME1	chrXIV	585587	585926
NTS1-2	NTS1-2	chrXII	459797	460711
NTS2-1	NTS2-1	chrXII	458433	459675
NTS2-2	NTS2-2	chrXII	467570	468812
PWR1	PWR1	chrIX	395999	396939
Q0010		chrmt	3952	4338
Q0017		chrmt	4254	4415
Q0020	15S_RRNA	chrmt	6546	8194
Q0032		chrmt	11667	11957
Q0045	COX1	chrmt	13818	26701
Q0050	AI1	chrmt	13818	16322
Q0055	AI2	chrmt	13818	18830
Q0060	AI3	chrmt	13818	19996
Q0065	AI4	chrmt	13818	21935
Q0070	AI5_ALPHA	chrmt	13818	23167
Q0075	AI5_BETA	chrmt	24156	25255
Q0080	ATP8	chrmt	27666	27812
Q0085	ATP6	chrmt	28487	29266
Q0092		chrmt	30874	31014
Q0105	COB	chrmt	36540	43647
Q0110	BI2	chrmt	36540	38579
Q0115	BI3	chrmt	36540	40265
Q0120	BI4	chrmt	36540	42251
Q0130	OLI1	chrmt	46723	46953
Q0140	VAR1	chrmt	48901	50097
Q0142		chrmt	51052	51228
Q0143		chrmt	51277	51429
Q0144		chrmt	54109	54438
Q0158	21S_RRNA	chrmt	58009	62447
Q0160	SCEI	chrmt	61022	61729
Q0182		chrmt	65770	66174
Q0250	COX2	chrmt	73758	74513
Q0255		chrmt	74495	75984
Q0275	COX3	chrmt	79213	80022
Q0285	RPM1	chrmt	85295	85777
Q0297		chrmt	85554	85709
RDN18-1	RDN18-1	chrXII	455933	457732
RDN18-2	RDN18-2	chrXII	465070	466869
RDN25-1	RDN25-1	chrXII	451786	455181
RDN25-2	RDN25-2	chrXII	460923	464318
RDN37-1	RDN37-1	chrXII	451575	458432
RDN37-2	RDN37-2	chrXII	460712	467569
RDN5-1	RDN5-1	chrXII	459676	459796
RDN5-2	RDN5-2	chrXII	468813	468931
RDN5-3	RDN5-3	chrXII	472465	472583
RDN5-4	RDN5-4	chrXII	482045	482163
RDN5-5	RDN5-5	chrXII	485697	485815
RDN5-6	RDN5-6	chrXII	489349	489469
RDN58-1	RDN58-1	chrXII	455414	455571
RDN58-2	RDN58-2	chrXII	464551	464708
RME2	RME2	chrVII	141898	144120
RME3	RME3	chrVII	33109	35013
RNA170	RNA170	chrXIII	667288	667456
RPR1	RPR1	chrV	117667	118035
RUF20	RUF20	chrVI	131061	131503
RUF21	RUF21	chrVI	57815	58521
RUF22	RUF22	chrVI	199299	199813
RUF23	RUF23	chrVI	221714	221967
RUF4	RUF4	chrV	377955	378742
RUF5-1	RUF5-1	chrVIII	212409	213118
RUF5-2	RUF5-2	chrVIII	214407	215116
RUF6	RUF6	chrXVI	856570	857620
RUF7	RUF7	chrVI	123086	123585
RUF8	RUF8	chrII	462136	463086
SCR1	SCR1	chrV	441987	442508
snR10	SNR10	chrVII	345986	346230
snR11	SNR11	chrXIII	652275	652532
snR128	SNR128	chrX	139566	139691
snR13	SNR13	chrIV	1402919	1403042
snR14	SNR14	chrV	167427	167586
snR161	SNR161	chrII	307185	307345
snR17a	SNR17A	chrXV	780107	780596
snR17b	SNR17B	chrXVI	281056	281517
snR18	SNR18	chrI	142367	142468
snR189	SNR189	chrIII	178610	178798
snR19	SNR19	chrXIV	230105	230672
snR190	SNR190	chrX	139761	139950
snR191	SNR191	chrXIV	721938	722211
snR24	SNR24	chrXIII	499984	500072
snR3	SNR3	chrX	663749	663942
snR30	SNR30	chrXII	198784	199389
snR31	SNR31	chrXV	841958	842182
snR32	SNR32	chrVIII	381540	381727
snR33	SNR33	chrIII	142364	142546
snR34	SNR34	chrXII	899180	899382
snR35	SNR35	chrXV	759326	759529
snR36	SNR36	chrXV	680685	680866
snR37	SNR37	chrX	228094	228479
snR38	SNR38	chrXI	283185	283279
snR39	SNR39	chrVII	365163	365251
snR39B	SNR39B	chrVII	366374	366469
snR4	SNR4	chrV	424698	424883
snR40	SNR40	chrXIV	89210	89306
snR41	SNR41	chrXVI	719148	719242
snR42	SNR42	chrXI	559016	559366
snR43	SNR43	chrIII	107504	107712
snR44	SNR44	chrXII	856710	856920
snR45	SNR45	chrXVI	821732	821903
snR46	SNR46	chrVII	545370	545566
snR47	SNR47	chrIV	541602	541700
snR48	SNR48	chrVII	609584	609696
snR49	SNR49	chrXIV	716120	716284
snR5	SNR5	chrXV	842403	842606
snR50	SNR50	chrXV	259489	259578
snR51	SNR51	chrXVI	718700	718806
snR52	SNR52	chrV	431129	431220
snR53	SNR53	chrV	61699	61789
